"Date","Incident/s","Incident Count","Tweet/s","Tweet Count"
"2018-01-08","[928.0, 950.0, 1009.0, 1078.0, 1154.0]","5","[950462603280691200, 950316822221373441, 950309401952333824, 950194370338217984, 950178629203341313]","5"
"2018-01-09","[929.0, 1080.0, 1119.0, 1137.0]","4","[950848248327131136, 950821564660019200, 950814679995207681]","3"
"2018-01-10","[923.0, 945.0, 949.0, 976.0, 1008.0, 1023.0, 1035.0, 1072.0, 1073.0, 1098.0, 1099.0, 1126.0]","12","[951241302783520769, 951219623793324032, 951113433784569857, 951111691646812160, 951074940895223809]","5"
"2018-01-11","[901.0, 902.0, 903.0, 946.0, 947.0, 948.0, 958.0, 959.0, 972.0, 983.0, 1001.0, 1074.0, 1095.0, 1156.0]","14","[951558724002373632, 951545787837661184, 951452668597186560, 951386229278306304, 951342663218925568]","5"
"2018-01-12","[1024.0, 1027.0, 1038.0, 1055.0, 1061.0, 1063.0, 1064.0, 1065.0, 1088.0, 1089.0, 1142.0, 1167.0, 1192.0]","13","[951955898884378624, 951818449088491522, 951803274335748096, 951776126434775040, 951725207860887552, 951651987333918726]","6"
"2018-01-13","[1011.0, 1056.0, 1057.0, 1058.0, 1066.0, 1087.0]","6","[952243209710854144, 952166122853486592]","2"
"2018-01-14","[904.0, 905.0, 974.0, 988.0, 1014.0, 1019.0, 1020.0, 1021.0, 1037.0, 1044.0, 1045.0, 1046.0, 1081.0, 1082.0, 1143.0]","15","[952619357066137600]","1"
"2018-01-15","[931.0, 1010.0, 1029.0, 1051.0, 1083.0, 1135.0, 1140.0]","7","[953029059709059073]","1"
"2018-01-16","[1032.0, 1041.0, 1043.0, 1048.0, 1054.0, 1084.0, 1091.0, 1092.0, 1103.0, 1117.0, 1129.0]","11","[953248506420060160]","1"
"2018-01-17","[888.0, 932.0, 935.0, 1049.0, 1050.0, 1100.0, 1101.0, 1102.0, 1104.0, 1108.0, 1122.0, 1282.0]","12","[953774764895678464, 953767161805221889, 953747045256388608, 953708693404594176, 953670440567877632, 953661252911300608, 953608978772217856, 953608950917816320, 953568919259959296]","9"
"2018-01-18","[960.0, 961.0, 977.0, 1028.0, 1047.0, 1052.0, 1094.0, 1096.0, 1106.0, 1107.0]","10","[954131963811586049, 954025887216750592, 954019835498778624, 953981258656227329, 953933548687261696, 953853228419919873, 953814791688040448]","7"
"2018-01-19","[965.0, 979.0, 980.0, 1125.0, 1166.0, 1181.0, 1182.0, 1183.0, 1184.0, 1186.0]","10","[954472046041247744, 954453204611158016, 954298416888098816]","3"
"2018-01-20","[953.0, 1180.0, 1198.0, 1203.0, 1204.0, 1205.0, 1207.0, 1212.0]","8","[954800092166242304, 954725854818443265, 954694032143261696, 954609827526750208, 954559384532672512]","5"
"2018-01-21","[952.0, 1067.0, 1068.0, 1114.0, 1118.0, 1153.0, 1157.0, 1208.0, 1210.0, 1252.0, 1278.0]","11","[955031145627996161, 954966341131280384, 954923516347985921]","3"
"2018-01-22","[921.0, 964.0, 1070.0, 1200.0]","4","[955527269518159872, 955515947866992641, 955342506824216576]","3"
"2018-01-23","[956.0, 1069.0, 1158.0, 1189.0, 1190.0, 1191.0]","6","[955900340842319872, 955891419306123264, 955817288459984896, 955799556716773376, 955794313983569921, 955788231638794241, 955785213258252288, 955711230785732608, 955633373430476800, 955622021404094469]","10"
"2018-01-24","[957.0, 981.0, 982.0, 1171.0, 1201.0, 1202.0, 1215.0, 1220.0, 1257.0]","9","[956209084541190145, 956161553975226369, 956136417406734337, 956102813255327744, 956066837774655488, 956058001273774080, 956018994401734656, 955983667993571328]","8"
"2018-01-25","[1168.0, 1169.0, 1170.0, 1173.0, 1174.0, 1175.0, 1176.0, 1177.0]","8","[956647649901293569, 956532407716470784, 956375623206752257]","3"
"2018-01-26","[1188.0, 1254.0]","2","[957034192549822464, 956993524691501057, 956919947346591745, 956753776139907072]","4"
